Description,HardwareType,Price,Star1,Star2,Star3,Star4,Star5,URL
WD5000AAKX,HARDDISK,79.99,39,14,21,56,225,http://www.newegg.com/Product/Product.aspx?Item=N82E16822136769
ST310005N1A1AS-RK,HARDDISK,109.99,7,1,2,3,19,http://www.newegg.com/Product/Product.aspx?Item=N82E16822148321
WDBAAV3200ENC-NRSN ,HARDDISK,105.99,0,1,1,0,5,http://www.newegg.com/Product/Product.aspx?Item=N82E16822136785
WD1502FAEX,HARDDISK,159.99,31,7,15,19,80,http://www.newegg.com/Product/Product.aspx?Item=N82E16822136793
WD1002FAEX ,HARDDISK,139.99,234,90,131,233,982,http://www.newegg.com/Product/Product.aspx?Item=N82E16822136533
SUPERMICRO MBD-X9SCM-F-O,MOTHERBOARD,199.99,0,0,2,4,20,http://www.newegg.com/Product/Product.aspx?Item=N82E16813182253
SUPERMICRO MBD-X9SCL-O,MOTHERBOARD,159.99,0,0,1,2,2,http://www.newegg.com/Product/Product.aspx?Item=N82E16813182252
ASUS P8B WS,MOTHERBOARD,219.99,3,3,4,5,16,http://www.newegg.com/Product/Product.aspx?Item=N82E16813131725
Intel S1200BTL,MOTHERBOARD,229.99,2,2,1,0,3,http://www.newegg.com/Product/Product.aspx?Item=N82E16813121525
TYAN S5510GM3NR,MOTHERBOARD,199.99,1,3,2,0,4,http://www.newegg.com/Product/Product.aspx?Item=N82E16813151243
Intel Xeon E5520,CPU,396.99,0,0,1,2,23,http://www.newegg.com/Product/Product.aspx?Item=N82E16819117185
Intel Xeon E3-1230,CPU,239.99,0,0,0,1,18,http://www.newegg.com/Product/Product.aspx?Item=N82E16819115083
Intel Xeon E3-1225,CPU,219.99,0,0,0,0,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16819115088
Intel Xeon E5520,CPU,396.99,0,0,1,2,23,http://www.newegg.com/Product/Product.aspx?Item=N82E16819117185
Intel Xeon E3-1270,CPU,339.99,0,0,0,0,5,http://www.newegg.com/Product/Product.aspx?Item=N82E16819115081
KVR667D2D4F5/4G,RAM,124.99,0,1,0,0,12,http://www.newegg.com/Product/Product.aspx?Item=N82E16820134412
CT102472BB1339,RAM,84.99,0,0,1,0,3,http://www.newegg.com/Product/Product.aspx?Item=N82E16820148436
CT51272BA1339,RAM,36.99,0,0,0,0,3,http://www.newegg.com/Product/Product.aspx?Item=N82E16820148382
KVR1066D3E7S/4G,RAM,33.99,0,0,0,0,2,http://www.newegg.com/Product/Product.aspx?Item=N82E16820139362
KVR800D2E6K2/4G,RAM,69.99,0,0,1,0,12,http://www.newegg.com/Product/Product.aspx?Item=N82E16820134936
iStarUSA TC-2U/50-80,POWERSUPPLY,109.99,1,1,0,2,4,http://www.newegg.com/Product/Product.aspx?Item=N82E16817147084
HG2-6400P,POWERSUPPLY,89.99,1,0,0,0,0,http://www.newegg.com/Product/Product.aspx?Item=N82E16817338065
AP-MFATX25P8,POWERSUPPLY,46.99,1,0,1,1,0,http://www.newegg.com/Product/Product.aspx?Item=N82E16817338052
TC-500PD8,POWERSUPPLY,79.99,0,1,0,0,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16817147095
AP-U1ATX30A,POWERSUPPLY,52.99,1,0,2,1,10,http://www.newegg.com/Product/Product.aspx?Item=N82E16817104115
